Name of the initiative,Instrument Type,Country,Region,Jurisdiction Covered,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
State of Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,State of Mexico,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,4.711803342
Yucatan carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Yucatan,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,2.940997145
Guanajuato carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Guanajuato,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997699748
Durango carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Durango,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary Carbon tax,Carbon tax,Hungary,Europe & Central Asia,Hungary,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.4867257
Albania Carbon tax,Carbon tax,Albania,Europe & Central Asia,Albania,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Prince Edward Island Carbon tax,Carbon tax,Canada,North America,Prince Edward Island,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.047868311,9.143981872,24.35336251,24.03492647,10.34508239
Newfoundland and Labrador carbon tax,Carbon tax,Canada,North America,Newfoundland and Labrador,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.43083189,41.04241094,78.18543573,87.40668958,25.86270598
New Brunswick carbon tax,Carbon tax,Canada,North America,New Brunswick,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.43053436,98.48786311,127.8772379,118.229513
Baja California carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Baja California,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1787182,1.214169086,Not available
Tamaulipas carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Tamaulipas,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.896367521,0
Australia CPM,ETS,Australia,East Asia & Pacific,Australia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3415.035255,6226.79408,2640.369258,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Alberta carbon tax,Carbon tax,Canada,North America,Alberta,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,692.7150657,1047.124296,1012.970567,Not available,Not available,Not available,Not available
Ontario CaT,ETS,Canada,North America,Ontario,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,1120.390317,551.6043043,533.6127976,Not available,Not available,Not available,Not available
