Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North America,Canada,Ontario,Ontario CaT,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.002498661,0.002388037,0.002377404,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
North America,Canada,Alberta,Alberta carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.002239654,0.002196261,0.0021976,0.002467792,0.002881886,0.002842803,0.002842803,0.002842803
Latin America & Caribbean,Chile,National,Chile carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,0.001379928,0.001369418,0.001428767,0.001400898,0.00145808,0.001401036,0.001401036,0.001401036
North America,Mexico,Zacatecas,Zacatecas carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,8.13E-06,8.11E-06,8.41E-06,5.88E-06,9.76E-05,9.76E-05,9.76E-05
Latin America & Caribbean,Colombia,National,Colombia carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.000770471,0.000783261,0.000814049,0.000791054,0.000801462,0.000801462,0.000801462
North America,USA,Massachusetts,Massachusetts ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0,0,0,0,0,0,0
Latin America & Caribbean,Argentina,National,Argentina carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.002702267,0.00269452,0.002710308,0.002705854,0.002705854,0.002705854
North America,Canada,National,Canada federal OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.00014753,0.000140517,0.00013817,0.000140708,0.000140708,0.000140708
East Asia & Pacific,Singapore,National,Singapore carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.001067579,0.001082944,0.00106223,0.001035044,0.001035044,0.001035044
North America,Canada,Nova Scotia,Nova Scotia OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.000264854,0.000257741,0.000245964,0.000242628,0.000242628,0.000242628
North America,Canada,Saskatchewan,Saskatchewan OBPS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,0.000613616,0.000552019,0.000543005,0.000535641,0.000535641,0.000535641
North America,Canada,Newfoundland,Newfoundland and Labrador carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,9.84E-05,8.17E-05,7.35E-05,7.25E-05,7.25E-05,7.25E-05
North America,Canada,Newfoundland,Newfoundland and Labrador PSS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000128537,0.000540782,0,8.32E-06,0.002743434,7.95E-05,6.60E-05,5.94E-05,5.86E-05,5.86E-05,5.86E-05
